Heure,Film,Cinéma,Langue
10:30,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VF
10:30,Super Mario Galaxy Le Film,Pathé Odysseum,VF
10:30,C’est quoi l’amour ?,Pathé Odysseum,VF
10:30,La Vénus électrique,Pathé Odysseum,VF
10:30,Michael,Pathé Odysseum,VF
10:30,L’Abandon,Pathé Odysseum,VF
10:30,Jumpers,Pathé Odysseum,VF
10:45,All You Need Is Kill,Pathé Odysseum,VOST
10:45,Vivaldi et moi,Pathé Comédie,VOST
10:45,La Vénus électrique,Pathé Comédie,VF
10:45,Super Mario Galaxy Le Film,Pathé Comédie,VF
10:45,Michael,Pathé Comédie,VOST
10:45,Le Diable s'habille en Prada 2,Pathé Comédie,VOST
10:45,Autofiction,Pathé Odysseum,VF
10:45,Le Diable s'habille en Prada 2,Pathé Odysseum,VF
10:45,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VF
11:00,Elfie et les Super Elfkins,Pathé Odysseum,VF
11:00,Star Wars: The Mandalorian and Grogu,Pathé Comédie,VF
11:00,La Vénus électrique,Utopia,VF
11:00,"Edmond et Lucy - La Forêt, c'est l'aventure",Pathé Comédie,VF
11:00,Autofiction,Pathé Comédie,VOST
11:00,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VF
11:00,Mortal Kombat II,Pathé Odysseum,VF
11:15,Obsession,Pathé Odysseum,VOST
11:15,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VOST
11:15,"Edmond et Lucy - La Forêt, c'est l'aventure",Pathé Odysseum,VF
11:20,Vivaldi et moi,Utopia,VF
11:30,La Corde au cou,Utopia,VF
13:00,Jumpers,Pathé Odysseum,VF
13:00,All You Need Is Kill,Pathé Odysseum,VOST
13:00,L’Abandon,Pathé Odysseum,VF
13:00,La Vénus électrique,Pathé Comédie,VF
13:00,Histoires parallèles,Pathé Odysseum,VF
13:00,Super Mario Galaxy Le Film,Pathé Odysseum,VF
13:10,C’est quoi l’amour ?,Pathé Odysseum,VF
13:15,La Vénus électrique,Pathé Odysseum,VF
13:15,Marsupilami,Pathé Odysseum,VF
13:15,C’est quoi l’amour ?,Pathé Comédie,VF
13:15,Histoires parallèles,Pathé Comédie,VF
13:20,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VOST
13:20,Histoires parallèles,Utopia,VF
13:30,Pour le plaisir,Pathé Comédie,VF
13:30,Michael,Pathé Comédie,VF
13:30,Le Diable s'habille en Prada 2,Pathé Odysseum,VF
13:30,Le Diable s'habille en Prada 2,Pathé Comédie,VOST
13:30,Sauvons les meubles,Utopia,VF
13:30,Autofiction,Pathé Odysseum,VOST
13:30,Michael,Pathé Odysseum,VF
13:40,The World of Love,Utopia,VF
13:40,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VF
14:00,Star Wars: The Mandalorian and Grogu,Pathé Comédie,VOST
14:00,Autofiction,Pathé Comédie,VOST
14:00,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VF
14:00,The Criminals,Pathé Odysseum,VF
14:30,Obsession,Pathé Odysseum,VOST
15:00,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VF
15:00,Michael,Pathé Odysseum,VF
15:15,Pour le plaisir,Pathé Odysseum,VF
15:20,Juste une illusion,Pathé Odysseum,VF
15:25,L’Abandon,Pathé Odysseum,VF
15:30,L’Être Aimé,Pathé Comédie,VOST
15:30,Super Mario Galaxy Le Film,Pathé Odysseum,VF
15:30,ChaO,Utopia,VF
15:45,Histoires parallèles,Pathé Comédie,VF
15:45,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VF
15:45,La Vénus électrique,Pathé Comédie,VF
16:00,Histoires parallèles,Pathé Odysseum,VF
16:00,Les Beaux Jours,Utopia,VF
